时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-26 下午04:06:18,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Same country as university,Other,4,NO,Better,Much Worse,Worse,Better,Neutral,Worse,"Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Alternating studying and doing physical exercise, Listening to music while working",Much Better,Worse,Better,Neutral,Worse,Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Taking care of pets or plants, Cooking and/or eating together (potentially remotely)",Neutral,Much Better,Neutral,Much Better,Much Better,Much Better,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Going out in the sun",Better,Better,Better,Better,Much Better,Better,"Learning something new, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music",Much Worse,Much Better,Neutral,Worse,4,4,Friends and parties,I agree.
2020-6-26 下午04:16:00,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Much Worse,Much Worse,Much Worse,Neutral,Worse,Worse,"Attending class regularly, Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Taking regularly little breaks/pauses/naps",NA,Neutral,Neutral,Much Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Taking care of pets or plants, Playing games with friends or family (potentially remotely)",NA,Worse,Neutral,Worse,Much Worse,Much Better,"Eating well, Going out in the sun, Breathing well, Taking regular breaks/naps",Worse,Worse,Much Worse,Worse,Worse,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Much Worse,Worse,Neutral,Much Worse,2,5,Friends and life on the campus,I agree.
2020-6-26 下午04:17:22,Female,France,CentraleSupélec,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Neutral,Worse,Better,Neutral,Worse,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university",Neutral,Better,Much Better,Neutral,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Better,Much Better,Worse,"Eating well, Physically exercising, Taking your prescription medicines regularly, Drinking water regularly",Neutral,Neutral,Neutral,Neutral,Worse,Worse,"Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument",Worse,Neutral,Neutral,Worse,2,5,"friends, student clubs",I agree.
2020-6-26 下午04:17:57,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Much Worse,Worse,Much Better,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Listening to music while working",Better,Much Worse,Worse,Worse,Much Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Worse,Worse,Worse,Worse,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Much Worse,Worse,Worse,Worse,Worse,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Worse,Worse,Worse,2,5,friends and the sun,I agree.
2020-6-26 下午04:18:24,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Neutral,Worse,Neutral,NA,Neutral,"Communicating online with other students during classes, Doing homework together with other students, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Better,Better,Better,Worse,Much Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Playing games with friends or family (potentially remotely)",NA,Better,Better,Worse,Better,Neutral,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Worse,Worse,Better,Better,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Cooking a nice meal",Neutral,Worse,Neutral,Worse,3,4,Girlfriend,I agree.
2020-6-26 下午04:25:23,Male,France,Paris-Saclay,3rd,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Much Better,Better,Much Better,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Listening to music while working",Better,Neutral,Worse,Neutral,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Better,Better,Better,Better,Much Better,"Eating well, Sleeping well, Physically exercising, Taking regular breaks/naps",Neutral,Neutral,Worse,Neutral,Neutral,Better,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Better,Better,Neutral,4,5,"Physical interactions with others, and parties",I agree.
2020-6-26 下午04:26:28,Other or prefer not to disclose,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Other,4,NO,Better,Worse,Worse,Neutral,Neutral,Worse,"Attending class regularly, Getting fast and reliable internet connection, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Worse,Neutral,Much Worse,Worse,"Taking care of pets or plants, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Worse,Better,Neutral,Worse,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Much Worse,Much Worse,Much Worse,Neutral,Much Worse,Much Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Getting clean and dressing well, Cooking a nice meal",Worse,Neutral,Worse,Much Worse,2,4,Being lost in time ,I agree.
2020-6-26 下午04:27:24,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Better,Worse,Better,Neutral,Worse,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university",Better,Worse,Worse,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships",Much Worse,Much Worse,Worse,Neutral,Neutral,Neutral,"Eating well, Physically exercising, Going out in the sun, Taking showers or baths",Worse,Worse,Worse,Neutral,Better,Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Watching videos or television, reading, or listening to music",Better,Worse,Much Worse,Much Worse,2,5,Contact with others,I agree.
2020-6-26 下午04:28:36,Female,France,CentraleSupelec,5th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Worse,Worse,Worse,Neutral,Worse,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",NA,Much Worse,Much Better,Neutral,Much Worse,Worse,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Much Better,Much Better,Neutral,Better,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Neutral,Neutral,Better,Neutral,Neutral,Better,"Learning something new, Physically exercising, Cooking a nice meal, Doing housekeeping",Worse,Much Better,Neutral,Worse,3,5,Seeing friends and doing things together,I agree.
2020-6-26 下午04:30:52,Male,France,CentraleSupélec,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),2,NO,Worse,Worse,Neutral,Worse,Better,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Alternating studying and doing physical exercise",Much Better,Better,Better,Better,Better,Worse,"Having regular video-conference meetings, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Worse,Worse,Worse,Neutral,Worse,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Worse,Worse,Worse,Neutral,Worse,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Neutral,Neutral,Better,4,5,Somebody to talk with,I agree.
2020-6-26 下午04:30:55,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Worse,Neutral,Better,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Alternating studying and doing physical exercise",Neutral,Better,Worse,Worse,Much Worse,Neutral,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Much Better,Neutral,Worse,"Eating well, Physically exercising, Breathing well, Drinking water regularly",Worse,Worse,Worse,Worse,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Better,Better,Worse,Worse,3,5,Friends and social interactions,I agree.
2020-6-26 下午04:31:51,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),3,"YES, due to COVID-19",Neutral,Much Worse,Better,Worse,Worse,Worse,"Attending class regularly, Meeting one-on-one with instructors, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Worse,Worse,Worse,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Worse,Better,Worse,Much Better,Neutral,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Much Worse,Worse,Much Worse,Worse,Much Worse,Neutral,"Finishing to a lesson or do homework, Physically exercising, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Much Worse,Worse,Worse,Much Worse,1,4,People close to me,I agree.
2020-6-26 下午04:34:22,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),4,NO,Worse,Worse,Much Worse,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Much Better,Worse,Better,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Worse,Worse,Neutral,Better,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Better,Neutral,Neutral,Neutral,Neutral,Neutral,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Worse,Worse,Neutral,Worse,3,5,Going out,I agree.
2020-6-26 下午04:35:45,Female,France,Paris-Saclay,4th,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Much Better,Much Better,Better,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students",Better,Worse,Better,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Neutral,Worse,Neutral,Worse,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Worse,Much Worse,Neutral,Worse,Worse,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Physically exercising",Better,Worse,Worse,Much Worse,2,5,Friends,I agree.
2020-6-26 下午04:44:18,Male,France,Paris-Saclay,5th,"No, I am in the middle of the program","Business, economics, finance, marketing, accounting, entrepreneurship",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,NA,Neutral,NA,Neutral,NA,Worse,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Better,Worse,Neutral,Worse,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Playing music together (potentially remotely)",Neutral,Worse,Better,Better,Much Better,Neutral,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Taking regular breaks/naps",Worse,Much Worse,Much Worse,Neutral,Worse,Worse,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Physically exercising",Neutral,Better,Worse,Much Worse,2,5,Parties,I agree.
2020-6-26 下午04:46:41,Female,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Much Better,Much Better,Worse,Worse,Neutral,"Attending class regularly, Communicating online with other students during classes, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Worse,Worse,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Neutral,Neutral,Neutral,Worse,Neutral,Neutral,"Eating well, Sleeping well, Going out in the sun, Taking regular breaks/naps",Neutral,Worse,Much Worse,Neutral,Worse,Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Worse,Worse,Worse,Much Worse,4,5,Friends,I agree.
2020-6-26 下午04:47:02,Male,France,Paris-Saclay,1st,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,5,NO,Neutral,Much Worse,Neutral,Neutral,Much Worse,Neutral,"Attending class regularly, Doing homework regularly, Doing homework together with other students, Alternating studying and doing physical exercise",Better,Neutral,Better,Worse,Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Worse,Worse,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Worse,Worse,Worse,Worse,Worse,Much Worse,"Finishing to a lesson or do homework, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Much Worse,Worse,Worse,Much Worse,2,4,Having real courses,I agree.
2020-6-26 下午04:48:50,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Better,Neutral,Neutral,Neutral,"Doing homework together with other students, Meeting one-on-one with instructors, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Better,Worse,Neutral,Worse,Much Worse,Worse,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Worse,Much Worse,Worse,Better,Better,Neutral,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Worse,Worse,Neutral,Worse,Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well",Neutral,Better,Worse,Worse,2,2,"Parties, restaurants, social interactions",I agree.
2020-6-26 下午04:55:22,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Worse,Neutral,Neutral,Neutral,"Doing homework regularly, Doing homework together with other students, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Neutral,Neutral,Neutral,Worse,Much Worse,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Neutral,Better,Worse,Much Better,Better,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Neutral,Neutral,Worse,Neutral,Neutral,Much Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument",Neutral,Worse,Worse,Much Worse,2,5,Social interactions,I agree.
2020-6-26 下午05:01:02,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Worse,Neutral,Much Better,Worse,Neutral,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Taking regularly little breaks/pauses/naps",Better,Much Better,Much Better,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Playing games with friends or family (potentially remotely)",Neutral,Better,Neutral,Worse,Much Better,Better,"Eating well, Sleeping well, Physically exercising, Taking showers or baths",Neutral,Neutral,Worse,Neutral,Better,Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Worse,Worse,Better,Better,3,5,Seeing my friends other than online,I agree.
2020-6-26 下午05:01:39,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,5,NO,Better,Neutral,Worse,Neutral,Neutral,Neutral,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Much Worse,Worse,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of a child or of someone in need (potentially remotely), none",Neutral,Neutral,Neutral,Much Better,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Neutral,Neutral,Neutral,Better,Neutral,Much Worse,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Better,Neutral,Worse,4,2,hanging out,I agree.
2020-6-26 下午05:06:07,Male,France,CentraleSupelec,2nd,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,5,NO,Better,Better,Better,Neutral,Much Better,Worse,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Listening to music while working",Neutral,Neutral,Neutral,Much Better,Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Better,Better,Neutral,Neutral,Neutral,"Eating well, Sleeping well, Taking showers or baths, Drinking water regularly",Neutral,Better,Much Better,Better,Neutral,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Cooking a nice meal, Doing housekeeping",Much Better,Neutral,Better,Much Better,4,5,Quarantine with friends,I agree.
2020-6-26 下午05:07:31,Other or prefer not to disclose,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Better,Neutral,Worse,Neutral,Neutral,Neutral,"Attending class regularly, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Better,Worse,Better,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Better,Better,Much Better,Much Better,Much Better,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Better,Better,Worse,Better,Better,Better,"Learning something new, Physically exercising, Cooking a nice meal, Gardenning",Neutral,Better,Better,Worse,4,5,Meeting and seeing people (and making travel plans),I agree.
2020-6-26 下午05:14:16,Female,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Other,Other,5,NO,Much Better,Much Better,Much Better,Neutral,Better,Neutral,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Taking regularly little breaks/pauses/naps",Neutral,Worse,Better,Neutral,Much Worse,Much Better,"Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Better,Better,Better,Neutral,Worse,"Eating well, Sleeping well, Breathing well, Taking regular breaks/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Much Better,"Learning something new, Finishing to a lesson or do homework, Doing arts and crafts or playing an instrument, Cooking a nice meal",Much Better,Better,Neutral,Much Worse,4,4,"interactions with friends, going out",I agree.
2020-6-26 下午05:20:42,Male,Gabon,Paris-Saclay,2nd,"Yes, I am  in the last year of my program",Engineering (other that computer related),Other,University lodging or temporary lodging near the university,5,"YES, due to COVID-19",Worse,Much Worse,Much Worse,Better,Worse,Neutral,"Attending class regularly, Communicating online with other students during classes, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Better,Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Much Worse,Much Worse,Much Worse,Much Worse,Worse,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Physically exercising, Cooking a nice meal",Much Worse,Much Worse,Much Worse,Much Worse,1,5,Social interaction ,I agree.
2020-6-26 下午05:25:44,Other or prefer not to disclose,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Other,4,NO,Better,Worse,Worse,Neutral,Neutral,Worse,"Attending class regularly, Getting fast and reliable internet connection, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Worse,Neutral,Much Worse,Worse,"Taking care of pets or plants, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Worse,Better,Neutral,Worse,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Much Worse,Much Worse,Much Worse,Neutral,Much Worse,Much Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Getting clean and dressing well, Cooking a nice meal",Worse,Neutral,Worse,Much Worse,2,4,Being lost in time ,I agree.
2020-6-26 下午05:26:04,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,University lodging or temporary lodging near the university,3,NO,Neutral,Much Worse,Much Worse,Neutral,Worse,Better,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Listening to music while working",Better,Better,Neutral,Worse,Much Worse,Worse,"Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Worse,Worse,Worse,Neutral,Worse,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Worse,Much Worse,Worse,Neutral,Worse,Much Worse,"Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Getting clean and dressing well, Cooking a nice meal",Worse,Worse,Worse,Much Worse,2,5,"Meeting many different people in different settings (work, school, association, bar ...)",I agree.
2020-6-26 下午05:28:25,Male,France,Paris-Saclay,3rd,"Yes, I am in the first year of my program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),5,NO,Worse,Better,Worse,Better,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Alternating studying and doing physical exercise",Much Better,Better,Worse,Better,Much Worse,Neutral,"Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Worse,Worse,Worse,Much Worse,Much Better,Better,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Worse,Worse,Worse,Worse,Worse,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well",Neutral,Much Worse,Worse,Neutral,3,5,Social interaction ,I agree.
